Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Baroda BNP Paribas ELSS Fund(G)-Direct Plan,ELSS,Sanjay Chawla,INF251K01HF3,38%,704,1.16%,Ranked,47,63%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 38%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run

","Those who are looking for an open ended fund and do not want any lock-in period
"
Sundaram Tax Savings Fund(G)-Direct Plan,ELSS,Sudhir Kedia,INF173K01HZ7,50%,997,1.75%,Ranked,49,68%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run

","Those who are looking for an open ended fund and do not want any lock-in period
"
Canara Rob Equity Tax Saver Fund(G)-Direct Plan,ELSS,Vishal Mishra,INF760K01EL8,40%,4583,0.61%,Ranked,53,76%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 40%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run

","Those who are looking for an open ended fund and do not want any lock-in period
"
UTI LT Equity Fund (Tax Saving)(G)-Direct Plan,ELSS,Vishal Chopda,INF789F01TF7,60%,3015,1.00%,Ranked,42,54%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 60%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Nippon India Tax Saver (ELSS) Fund(G)-Direct Plan,ELSS,Rupesh Patel,INF204K01L55,65%,12352,1.18%,Ranked,48,66%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Satisfactory - Fund Manager strike rate is 64%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Union Long Term Equity Fund(G)-Direct Plan,ELSS,Vinay Paharia,INF582M01765,71%,594,1.60%,Ranked,44,59%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 70%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
HSBC ELSS Fund(G)-Direct Plan,ELSS,Cheenu Gupta,INF917K01GP0,55%,3263,1.18%,Ranked,39,49%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 54%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run

","Those who are looking for an open ended fund and do not want any lock-in period
"
SBI Long Term Equity Fund(G)-Direct Plan,ELSS,Dinesh Balachandran,INF200K01UM9,75%,12092,1.17%,Ranked,43,56%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Sundaram Diversified Equity(G)-Direct Plan,ELSS,Sudhir Kedia,INF903J01NN3,50%,1813,1.66%,Ranked,37,46%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run

","Those who are looking for an open ended fund and do not want any lock-in period
"
HDFC TaxSaver(G)-Direct Plan,ELSS,Roshi Jain,INF179K01YS4,82%,10354,1.24%,Ranked,39,51%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 81%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to save their income tax under section 8C and create wealth in the long run
","Those who are looking for an open ended fund and do not want any lock-in period
"
Parag Parikh Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Rajeev Thakkar,INF879O01027,100%,28546,0.76%,Ranked,96,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 100%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Kotak Flexicap Fund(G)-Direct Plan,Flexi Cap Fund,Harsha Upadhyaya,INF174K01LS2,60%,38295,0.67%,Ranked,57,85%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Satisfactory - Fund Manager strike rate is 60%.
Sortino Ratio - Excess returns per unit of downside risk is high.","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Franklin India Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Anand Radhakrishnan,INF090I01FK3,58%,10797,1.11%,Ranked,54,76%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 57%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
SBI Flexicap Fund(G)-Direct Plan,Flexi Cap Fund,R. Srinivasan,INF200K01UG1,73%,16549,0.86%,Ranked,63,94%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 73%.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.","Treynor Ratio - Excess returns by portfolio beta is low.
Sortino Ratio - Excess returns per unit of downside risk is low.
","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
IDFC Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Anoop Bhaskar,INF194K01W62,61%,5992,1.21%,Ranked,53,73%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 61%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
UTI Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Ajay Tyagi,INF789F01TC4,25%,26102,0.91%,Ranked,47,67%,"
","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 25%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions

","Short term investors and investors who would like to stick to one particular market cap

"
Axis Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Shreyash Devalkar,INF846K01B28,78%,11213,0.67%,Ranked,67,97%,"Satisfactory - Fund Manager strike rate is 77%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Aditya Birla SL Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Anil Shah,INF209K01XX1,67%,16805,0.90%,Ranked,57,88%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Canara Rob Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Shridatta Bhandwaldar,INF760K01EF0,80%,8936,0.51%,Ranked,48,70%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 80%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Quant Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Ankit Pande,INF966L01911,93%,825,0.58%,Ranked,55,79%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 92%.
Treynor Ratio - Excess returns by portfolio beta is high.","Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Motilal Oswal Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Siddharth Bothra,INF247L01502,14%,9354,0.96%,Ranked,60,91%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 14%.
","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Edelweiss Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Trideep Bhattacharya,INF843K01KK1,50%,1102,0.50%,Ranked,46,64%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
PGIM India Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Aniruddha Naha,INF663L01FF1,73%,5380,0.35%,Ranked,56,82%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 73%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Union Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Vinay Paharia,INF582M01633,71%,1396,1.08%,Ranked,34,55%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 70%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
DSP Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Atul Bhole,INF740K01PI2,50%,8141,0.76%,Ranked,43,58%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
HDFC Flexi Cap Fund(G)-Direct Plan,Flexi Cap Fund,Roshi Jain,INF179K01UT0,82%,32894,1.03%,Ranked,44,61%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 81%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Moderate investors to create wealth in the long run
Those who are looking for a flexible fund which invests in various market caps and change their asset allocation pattern based on market conditions
","Short term investors and investors who would like to stick to one particular market cap
"
Mirae Asset Emerging Bluechip(G)-Direct Plan,Large & Mid Cap,Neelesh Surana,INF769K01BI1,100%,24643,0.68%,Ranked,100,100%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Very good - Fund Manager strike rate is 100%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Invesco India Growth Opp Fund(G)-Direct Plan,Large & Mid Cap,Amit Ganatra,INF205K01MA0,44%,4008,0.66%,Ranked,59,81%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 43%.
","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
SBI Large & Midcap Fund(G)-Direct Plan,Large & Mid Cap,Saurabh Pant,INF200K01UJ5,25%,8993,1.05%,Ranked,66,92%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 25%.
","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Canara Rob Emerg Equities Fund(G)-Direct Plan,Large & Mid Cap,Shridatta Bhandwaldar,INF760K01EI4,80%,15854,0.60%,Ranked,82,96%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Satisfactory - Fund Manager strike rate is 80%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Tata Large & Mid Cap Fund(G)-Direct Plan,Large & Mid Cap,Chandraprakash Padiyar,INF277K01MK8,67%,3695,0.88%,Ranked,61,85%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
LIC MF Large & Midcap Fund-(G)-Direct Plan,Large & Mid Cap,Yogesh Patil,INF767K01NE9,20%,1991,0.84%,Ranked,57,62%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 20%.
","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Kotak Equity Opp Fund(G)-Direct Plan,Large & Mid Cap,Harsha Upadhyaya,INF174K01LF9,60%,11662,0.59%,Ranked,65,88%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 60%.
Sharpe Ratio - Excess returns per unit of risk is high.","Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Edelweiss Large & Mid Cap Fund(G)-Direct Plan,Large & Mid Cap,Abhishek Gupta,INF843K01AL0,50%,1696,0.48%,Ranked,59,77%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 50%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Sundaram Large and Mid Cap Fund(G)-Direct Plan,Large & Mid Cap,Ravi Gopalakrishnan,INF903J01PR9,57%,5292,0.70%,Ranked,57,65%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 57%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
ICICI Pru Large & Mid Cap Fund(G)-Direct Plan,Large & Mid Cap,Ihab Dalwai,INF109K011O5,38%,6183,1.11%,Ranked,58,69%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 38%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
IDFC Core Equity Fund(G)-Direct Plan,Large & Mid Cap,Anoop Bhaskar,INF194K01V89,61%,2532,0.84%,Ranked,52,58%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 61%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
DSP Equity Opportunities Fund(G)-Direct Plan,Large & Mid Cap,Rohit Singhania,INF740K01PL6,75%,7457,0.92%,Ranked,58,73%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Aditya Birla SL Equity Advantage Fund(G)-Direct Plan,Large & Mid Cap,Satyabrata Mohanty,INF209K01VH8,67%,5445,1.11%,Ranked,51,54%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Franklin India Equity Advantage Fund(G)-Direct Plan,Large & Mid Cap,Venkatesh Sanjeevi,INF090I01IN1,60%,2774,1.39%,Ranked,44,46%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 60%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
HDFC Large and Mid Cap Fund(G)-Direct Plan,Large & Mid Cap,Gopal Agrawal,INF179KA1RQ7,76%,7917,1.14%,Ranked,46,50%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 76%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
UTI Core Equity Fund(G)-Direct Plan,Large & Mid Cap,V. Srivatsa,INF789F01UG3,17%,1548,1.71%,Ranked,41,42%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 16%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps

","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Nippon India Vision Fund(G)-Direct Plan,Large & Mid Cap,Amar Kalkundrikar,INF204K01F20,67%,3291,1.55%,Ranked,36,38%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 66%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking to invest in both large cap and mid cap stocks with minimum allocation of 35% in each - Large caps and Mid caps
","Those who are looking for pure large cap funds or pure mid cap funds as Large and Mid cap funds have allocation in both with minimum 35% each
"
Mirae Asset Large Cap Fund(G)-Direct Plan,Large Cap Fund,Gaurav Misra,INF769K01AX2,50%,35407,0.51%,Ranked,95,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 50%.
","Individuals looking for steady growth, relatively moderate risk and low volatility
Those who have not experienced market volatility but want to stay invested for the long run
This category is a good option for beginners in mutual fund investing
","Investors who are looking for long term aggressive growth
Those who believe in high risk and high return
"
